Iloko,English
timbukelan daydiay strawberry,encircle that strawberry
umuna mangala ti dua a pidaso ti tinapay,first get two slices of bread
sumaruno pulagidan ti peanut butter,next spread the peanut butter
siak ket agwagwag iti ima sakbay a mangan,i wash my hands before eating
no maisaganak ti pungan ken olesko agkararagak sakbay nga agidda,when my blanket and pillow are ready i pray before sleeping
palammiisen daydiay mantika,let the oil cool down
sumaruno agsukatak ti badok a para balay,next i change into my home clothes
no aglutoak ti innapoy maudi a bugwan daytoy,when i cook rice last i stir it
umuna mangala ti baso,first get a glass
isaruno ni lydia nga impisok ti sagpaw a bangus,lydia next added the fried milkfish topping
nagawid ta mabisinen ni loma,loma went home to eat
peanut butter,peanut butter
nabatil nga itlog,beaten egg
badong para balay,home clothes
intuno a bangus,dried milkfish
dinengdeng,ilocano vegetable stew
senior citizens,senior citizens
panagaramid ti surat,letter writing
idanon,to send
parte ti surat,parts of a letter
umusen,to arrange
naimbag nga aldawmo,good day to you
naimbag a bigatmo,good morning to you
toy gayyemmo,your friend
agyamankami unay,we thank you very much
nagannak ni,parent of
ipakaammo,to let you know
awisenka nga umay,i am inviting you to come
sapay kuma ta umayka,i hope you can come
sapay kuma ta makaumayka,i hope you can come
kayatek nga ipakaammo,i want to let you know
kayatek nga agyaman,i want to thank
mabalin a makappanak,i might be able to go
makastrek,to attend class
agsakit ti ulona,her head ache
nagkaro iti uyek ken gurigurigor,cough and colds worsened
inbalakad ti doktor,the doctor's advice
namnamaemmi ti pannakaawatyo,we hope for your understanding
panangisuro,the act of teaching
agyamanak ti panangawismo kaniak,i thank you for your invitation to me
maragsakanak unay a dumar-ay,i am very happy to come
agkimitata ngarud dita balayyo inton sabado,see you then at your house on saturday
awisenka nga umay ditoy balaymi,i am inviting you to come to our house
saan a makastrek daytoy anakmi ta agsakit ti ulona,my child cannot attend class because he has a headache
kayatko nga ipakaammo iti panagyamanko,i want to express my gratitude
naragsak a panagadal,happy learning
napan naglangoy,went swimming
naglabas ti panawen,time passed
nalabbaga diay sabong ti kayanga.,the gumamela flower is red.
tallo ti bolintek ni mario.,mario has three marbles.
adda sangapulo a baka ni manong.,brother has ten cows.
nalawa ti karayan ken naliinaw ti danum.,the river is wide and the water is clear.
nangina dagiti lako nga ay-ayam.,the toys for sale are expensive.
nalinis ti pagadalammi.,our school is clean.
nakaawat ni benjie iti pito a medalia.,benjie received seven medals.
atiddog ti ipos ti aso.,the dog's tail is long.
nabuntog ti pag-ong.,the turtle is slow.
mara-iklog ti lamisaan.,the table is wooden.
naragsak dagiti bisita.,the visitors are happy.
naata ti bunga ti mangga.,the mango fruit is sour.
mala-palasio nga balay.,a palatial house.
nalabbaga a laso.,a red ribbon.
agkapada a balikas,synonyms
agsupadi a balikas,antonyms
diay dakkel a tao nilagtona iti nangato a kayo.,the big person jumped over the tall tree.
ti naanus a baket ket nasayaat ti pannakisao na kadagiti karruba.,the patient old woman has good conversations with her neighbors.
"amin tayo ket madi kayat iti narugit a pagtaengan, mas kaykayat tayo iti nalinis a pagnaedan.","all of us don't like a dirty dwelling, we prefer a clean place to live."
napintas iti langa ni sarah ngem naalas iti aramidna.,sarah's face is beautiful but her actions are bad.
nakipet ti ruangan.,the doorway is narrow.
rumagsak iti rikna no makangeg ti napintas a sonata.,the feeling becomes happy when hearing a beautiful sonata.
nadalus a kinanayon iti uneg pagadalammi.,the condition inside our school is clean.
napigsa ti panagbagbagi ni amangko.,my father's health is strong.
nalawa unay ti inaramid ni manongko a kulungan.,the cage my brother made is very wide.
sumbatan na ti saludsod a kaano,answers the question when
bayabay ti kadaras,adverb of frequency
sumbatan na ti saludsod a mano,answers the question how often
kada-huebes,every thursday
kada-domingo,every sunday
kada-martes,every tuesday
kada bulan ti mayo,every month of may
tengnga ti aldaw,noon
alas-otso ti agsapa,eight o'clock in the morning
bulan ti enero,month of january
saankopay napadas,i have never experienced
kada mangan,every meal time
agbuggo ti ima,to wash hands
agnaspasyar kami kada madanun iti bakasion.,we take a walk every time it's vacation.
mammano kami laeng a rumuar gapu ti epidemia.,we rarely go out because of the epidemic.
mangmangan kami ti pammigat iti oras ti alas-sais.,we will eat breakfast at 6 o'clock.
aldaw ti domingo ti pinaggimongmi.,our meeting is on sunday.
agbasaak madamdama.,i was reading a while ago.
mindemak nga agsibsibog ti mula.,i watered the plants yesterday.
umalis diay bus iti alas-otso ti agsapa.,the bus leaves at 8 in the morning.
agaramidak ti kard para kenni nanang no bigat.,i will make a card for mother tomorrow.
kanayonko a dagasen ni fatima a mapan agbasa.,i always urge fatima to go study.
aldawen a nagri-ing ni lara.,lara wakes up every day.
lungak ti init ti alas 5:45 ti bigat.,i see the sunrise at 5:45 am.
nasapa nga agala ti basura dagiti basurero.,the garbage collectors get the trash early.
madama isuna nga agbuybuya ti telebision.,he is watching television now.
agdigosak nga inaldaw.,i take a shower daily.
agbuggo ti ima na kada mangan.,he washes hands every meal.
agwalis ti paraangan a kinanayon.,he sweeps the yard always.
ti panagturog ko ket alas 9:00 ti rabii.,my sleeping time is 9:00 at night.
agsungsungbatak ti modiul ko tatta.,i am answering my module now.
idiay kuarto,in the room
idiay kosina,in the kitchen
asideg ti ruangan,near the door
idiay sirok ti lamisaan,under the table
iti uneg ti bag,inside the bag
idiay mini chocolate hills,at mini chocolate hills
idiay dalam,on the street
idiay tayug eco park,at tayug eco park
idiay igid ti baybay,beside the sea
idiay banio,in the bathroom
idiay salas,in the living room
idiay balkonahe,on the balcony
idiay likod ti balay,behind the house
idiay plasa,at the plaza
idiay taltalon,in the field
idiay tiendaan,at the market
idiay karayan,at the river
idiay kabinet,in the cabinet
idiay tugaw,on the chair
idiay tokador,on the dresser
idiay ospital,in the hospital
idiay lababo,at the sink
idiay parke,at the park
idiay sirok,underneath
idiay alaminos,in alaminos
idiay balay,at home
idiay botika,at the drugstore
idiay barangay hall,at the barangay hall
idiay panaderia,at the bakery
kadagiti masetera,on the flower pots
idiay bangko,on the bench
iti uneg ti kahon,inside the box
idiay likod ti ruangan,behind the door
idiay plaza,at the plaza
idiay mall,at the mall
idiay bolinao,in bolinao
idiay restoran,at the restaurant
aginnawa iti pinggan,wash dishes
agkukuyog a mangan,eat together
napan idiay parke,went to the park
gumatang ti agas,bought medicine
imbaon a gumatang,was sent to buy
mangala ti kuartana,get his money
nasustansia a makan,nutritious food
nagay-ayam dagiti ubbing idiay taltalon.,the children played in the field.
agin-inana idiay kuarto ni nanangko.,my mother rested in the room.
tinulungak ni lelangko a nagluto idiay kosina.,i helped my grandmother cook in the kitchen.
naglemmeng ti marabutit idiay sirok ti lamisaan.,the kitten hid under the table.
inpasiarannakami ni tatang idiay mini chocolate hills.,father took us sightseeing at mini chocolate hills.
nagpasirakami idiay tayug eco park.,we went sightseeing at tayug eco park.
aglutoak ti dinengdeng idiay kosina.,i cook dinengdeng in the kitchen.
nagdigosak idiay banio.,i took a bath in the bathroom.
aginnawak ti pinggan idiay lababo.,i wash the dishes at the sink.
kanayonak nga agay-ayam idiay parke.,i always play at the park.
gumatang ni nanangko iti masapolmi idiay tiendaan.,my mother buys our needs at the market.
adda ti pusa idiay sirok ti lamisaan.,there is a cat under the table.
maturogak idiay kuarto.,i sleep in the room.
aglutluto ni nanang idiay kosina.,mother cooks in the kitchen.
agkukuyogkami a mangan idiay silid-panganan.,we eat together in the dining room.
mangawat kadagiti sangati idiay salas.,receive guests in the living room.
imbaonnak ni nanang a gumatang ti tinapay idiay panaderia.,mother sent me to buy bread at the bakery.
napardas a nagtaray ti kabayo.,the horse ran quickly.
dios ti mangngina,god will repay
inton madanon,when it reaches
inuudi a kabsat,youngest sibling
naun-uneg ti umuna a patang.,the first line is indented.
"usaren ti dakkel a letra kadagiti nagan ti lugar, petsa, ken nagan ti tao.","use capital letters for names of places, dates, and people."
naganko,my name
kasangaymo,your birthday
kaykayatko,i like
saanko kayat,i don't like
tawenko,my age
aggigianak,i live
petsa ti pannakasangay,date of birth
saan a rumbeng,not proper
sumrek a nasapa,enter early
umusen dagiti libro,use the books
dumngeg ken agulimek,listen and be quiet
saan nga agiwarwara,do not litter
urayen ti batangmo,wait for your turn
mamaestro,male teacher
mamaestra,female teacher
kaabaymo nga ubing,child beside you
isinop dagiti inusar,keep the things used
mailadawan,can be described
maidasig,can be classified
kabaélak,what i can do
agbisbisikleta,ride a bike
masapul a maamuan,must know
"no dumakdakkel ti maysa nga ubing, manaynayunan dagiti banag a kabaelanna nga aramiden.","as a child grows, the things they can do improve"
ibagam dagiti kabaelam nga aramiden babaen dagiti ladawan.,tell your abilities through the pictures
pasurotan dagiti balikas iti nadumaduma a rikna.,trace the words for different feelings
surtian iti ipaaramid ti tunggal numero.,write what each number instructs
"ikkan ti tšek, iti agpada a letra iti uneg ti kahon.",check the same letters inside the box
ikkan ti kahon iti agpada a numero iti kahon.,box the same numbers inside the box
koloran ti husto a rikna ti sumaganad a situasion.,color the correct feeling for each situation
idrowing iti uneg ti kahon iti sumaruno a rikna.,draw the next feeling inside the box
marisan dagiti dua nga agpada a numero iti tunggal ragup.,color the two same numbers in each group
pagalipuen ti husto a rikna ti sumaganad a ladawan.,match the correct feeling to the picture
timbukelan dagiti agpada a letra iti tunggal kahon.,circle the same letters in each box
naragsakak no dumteng ti kasangayko.,i am happy when my birthday comes
naliday ti ubing ta mabisin.,the child is sad because he is hungry
makaungetak no adda makiap-apa kaniak,i get angry when someone annoys me
mabutengak ti palibang,i am afraid of fireworks
dagitoy ti agpada a letra a,these are the same letter a
nadumaduma a rikna,different feelings
"ubbing, dagitoy ti nadumaduma a rikna","children, these are the different feelings"
dagitoy nga bola ket agpada ti sukog,these balls have the same shape
agpada a letra,same letter
agpada a numero,same number
palikmutan iti husto a sungbat,circle the correct answer
ibaga no ania a paset ti bagi iti ipakpakita dagiti ladawan,tell which body part is shown in the pictures
tuladen dagiti garaw nga ipakpakita dagiti ladawan,imitate the actions shown in the pictures
pagsilpuen ti paset ti bagi ken dagiti usarda,match the body part to its use
agbuya,to watch
agdengngeg,to listen
agaprus,to touch
agraman,to taste
napateg dagiti mata. us-usaren a pangkita wenno pangmatmat kadagiti banag iti aglawlaw,the eyes are important. they are used for seeing things around us
us-usaren ti dila a pangraman kadagiti nadumaduma a makan,the tongue is used for tasting different foods
dagiti ima ket us-usaren a pangiggem ken pangrikna,the hands are used for holding and feeling
"adda met ti maaramid dagiti saka: magna, agtaray, lumagto","the feet can do many things: walk, run, jump"
makakita,can see
makaraman,can taste
makaiggem,can hold
makaangot,can smell
makangngeg,can hear
pangkita,can see
pagangot,can smell
pangdengngeg,for hearing
pangraman,for tasting
pangarikap,for touching
pangangros,for holding
pakaus-usaran,make use of
"us-usarentayo dagiti pangrikna tapno makakita, makangngeg, makaraman, makaangot, makaiggem ken makaaprostayo.","we use our senses to see, hear, taste, smell, hold, and touch"
"dagitoy ti lima a pangrikna ti bagitayo: mata, agong, lapayag, dila, ken ima.","these are our five senses: eyes, nose, ears, tongue, and hands"
ti mata ket pangkita. ti agong ket pagangot. ti lapayag ket pangdengngeg. ti dila ket pangraman. ti ima ket pangarikap wenno pangangros.,the eyes are for seeing. the nose is for smelling. the ears are for hearing. the tongue is for tasting. the hands are for touching or grasping
banglo dagiti sabong,fragrance of flowers
kangrunaan a kasapulan,basic needs
panangtaripato ti bagi,body care
aggisigis ti ngipen,brushing teeth
agbuggo ti saka,washing feets
agdiram-os ti rupa,washing face
masapul a maamuan dagiti banag a makatulong tapno makasursuro ti husto ken nasayaat nga aramiden wenno panagtaripato ti bagi.,it is necessary to know the things that help in learning proper and good ways to care for the body
makaited ti sustansia ti makan a kasapulantayo a pagpasalun-at ti bagi.,"food provides nutrition, which we need for body health"
us-usaren ti kawes a pangsalakniib ti bagi.,clothing is used to protect the body
ti balay ket pagtataengan dagiti tao. iso iti mangsalakniib ti init ken tudo.,the house is where people live. it protects from sun and rain
timbukelan ti umno a ladawan,circle the correct picture
idrawing iti bukod mo a bagi iti uneg ti kahon,draw your own body inside the box
mangipegket iti dua a ladawan iti dadduma pay a banag nga usaren a pagdalus,paste two pictures of other items used for cleaning the body
koloran dagiti lugar a kasapulan ti agisuot ti face mask,color the places where wearing a face mask is required
panagdalus ti bagi,body cleaning
nadalus a bagi,clean body
ugasen dagiti ima,washing hands
bugguan dagiti saka,washing feets
pangpunas,for wiping
panglinis,for cleaning
panglapped,for protection
agsuot ti face mask,wear a face mask
romuar ti balay,go outside the house
kurikor,cotton buds
usaren a panglinis kadagiti lapayag,used for cleaning ears
pangputed iti atiddog a kuko,for cutting long nails
"iratta a panawen iti pandemia, kasapulan nga ammotayo nga annadan ti bagitayo","during the pandemic, we must know how to care for our bodies"
maysa a manglapped iti makunkuna a corona virus ket iti panagisuot ti face mask,one way to protect against the coronavirus is by wearing a face mask
"masapul a taripatuen ti bukod a bagi babaen iti panangdalus kadagiti kuko, ima, saka","we must care for our bodies by cleaning nails, hands, feet"
kasapulan pay nga agsuot ti face mask no romuar ti balay,it is also necessary to wear a face mask when leaving the house
kabassitan a paset ti komunidad.,smallest part of the community
panagayat ken panagsisinnakit.,love and care for one another
"ti mangbukbukel ti pamilia ket ti ama, ina, ken dagiti annakda.","the family consists of the father, mother, and their children"
dagitoy ti miembro ti pamiliak a saan nga agnanaed ditoy balaymi.,these are members of my family who do not live in our house
naduma-duma iti kadakkel ti pamilia.,families vary in size
"ania man a klase ti pamilia..., no napunuan ti panagayat ken panagsisinnakit..., daytoy ti kasayaatan a mangbukel ti maysa a pamilia.","whatever type of family..., if filled with love and mutual care..., this is what best forms a family."
isilpo ti ladawan ken ti husto a pangawag iti miembro ti pamilia,match the picture to the correct term for a family member.
marisan dagiti ladawan ti miembro ti pamilia,color the pictures of family members.
ipegket ti ladawan dagiti miembro ti pamiliam.,paste the pictures of your family members.
pagsilpuen ti linia ti rebbengan ti tunggal kameng ti pamilia.,connect the line to the responsibility of each family member.
isurat ti husto a balikas a pangawag iti miembro ti pamilia.,write the correct term for the family member.
idrowing ti pamiliaam. sungbatan ti saludsod iti baba: mano ti miembro ti pamiliaam?,draw your family. answer the question below: how many members are in your family?
haligi ti balay,pillar of the house
silaw ti balay,light of the house
aglinis ti balay,clean the house
"ni tatang ti aw-awagan nga ""haligi ng tahanan"". ni nanang ti aw-awagan nga ""ilaw ng tahanan"".","father is called the ""pillar of the home"". mother is called the ""light of the home""."
ni tatang ken nanang ti agtrabaho para ti pamilia.,father and mother work for the family.
"ni manong ken manang ti tumultulong nga agluto, aglaba, aglinis ti balay, ag-awir kenni ading.","older brother and older sister help cook, do laundry, clean the house, and take care of younger siblings."
ni ading met ti liwliwa iti pamilia.,the younger sibling is the joy of the family.
bilang ti miembro,number of members
kinatao ti annak,gender of children
panangipakitia ti ayat,showing love
dagiti pamilia ket adda ti panagpapada ken panagdidinnumada.,families have similarities and differences
ti pamilia cruz ken pamilia reyes ket agpada nga adda tigtunggal lima a miembro ti pamilia.,the cruz and reyes families both have five members each.
ti pamilia santos ken pamilia torres ket agpada a lalaki ti annakda.,the santos and torres families both have male children.
"ti pamilia marquez ket kristiano, ti pamilia abdula ket muslim.","the marquez family is christian, the abdula family is muslim."
"uray agpapada wenno agdidinnuma ti pamilia, agitinnulong ken agsisinnakit dagiti miembro.","whether families are similar or different, members help and care for each other."
ipakitada iti ayat ken respeto ti tunggal maysa tapno naumosda.,they show love and respect to everyone to maintain harmony.
agtrabaho ni nanang kenni tatang tapno adda mausarda para kadagiti kasapulan ti pamilia.,mother and father work to provide for the family's needs.
dagiti wagas ti panangipakitia ti ayat ken respeto ti pamilia.,ways to show love and respect in the family.
pagparisen ti dakkel a letra ken iti bassit a letra babaen ti uged.,match the uppercase letter to the lowercase letter with a line.
sakaren dagiti letra a mangrugi iti aa inggana zz.,trace the letters from aa to zz.
marisan amin nga paaweng iti nalabbaga. duyaw ti i-kolor dagiti pauni.,color all vowels red. color consonants yellow.
isurat amin a paaweng.,write all the vowels.
agaramid ti linia a mangisilpo kadagiti dua a letra a rumberng nga agkadua.,draw a line-connecting the two letters that are the same.
isurat iti buo a naganmo. timbukelan dagiti pauni a letra idiay naganmo nga usar ti kahel a krayola.,write your full name. circle the consonant letters in your name using an orange crayon.
isurat ti mapukpukaw a letra babaen ti pannakaurnosda.,write the missing letters in order.
letra ti alpabeto,letters of the alphabet
dakkel a letra,uppercase letters
bassit a letra,lowercase letters
ti letra ti alpabeto ket bukbukelen iti 5 nga paaweng ken 23 nga pauni consonants,the alphabet consists of 5 vowels and 23 consonants.
ti pangibalikas iti alpabeto ket malyanatop iti panangiyebkas iti ingles.,the pronunciation of the alphabet is based on english enunciation
adda iti annak iti dagiti dakkel a letra.,the uppercase letters have children.
timbukelan dagiti banag a masarakan iti siled-pagadalan.,circle the objects found in the classroom.
isurat ti husto a bilang iti uneg ti kahon.,write the correct number inside the box.
pagparisen ti paset iti siled-pagadalan ken ti banag a makita ditoy babaen iti uged.,match the part of the classroom to the object found there with a line.
pagparisen ti lugar ken ti banag a makita iti daytoy a paset babaen ti uged.,match the place to the object found in that part with a line.
pagparisen ti ladawan iti umno a nagan na babaen iti uged.,match the picture to its correct name with a line.
pagparisen babaen ti uged dagiti tattao iti baba ti umno a lugar a pakasarakan kadakuada.,match the people below to the correct place where they are found with a line.
bilangen dagiti banag iti tunggal numero. isurat iti bassit a kahon ti husto a sungbat.,count the objects in each number. write the correct answer in the small box.
bilangen dagiti banag iti tunggal ragup. isurat iti kahon ti husto a sungbat.,count the objects in each set. write the correct answer in the box.
suli ti paglaingan,art corner
suli ti pagbasaan,reading corner
suli ti salun-at,health corner
opisina ti prinsipal,principal's office
estasion ti polisia,police station
nabaliwan ti umos,changed arrangement
"mailasin dagiti banbanag a makita iti siled-pagadalan, eskuelaan, ken komunidad.","identify objects found in the classroom, school, and community."
mainaganan dagiti naduma-duma a paset iti siled-pagadalan ken eskuelaan.,name the different parts of the classroom and school.
maibaga dagiti banbanag a masarakan iti naduma-duma a paset.,tell the objects found in different parts.
mailasin dagiti agpada ti bilang nga banbanag uray nabaliwan ti puesto wenno umos na.,identify objects with the same number even if their arrangement is changed.
mabilang ken maisurat ti bilang dagiti banag.,count and write the number of objects.
saan nga agbaliw ti bilang iti banag uray nabaliwan ti umosda.,the number of objects does not change even if their arrangement is changed.
timbukelan dagiti paset a makita ti komunidad,circle the parts seen in the community.
ikkan ti tsek dagiti katulongan ti komunidad.,check the community helpers.
pagparisen ti ladawan ken ti umno a paset ti komunidad.,match the picture to the correct part of the community.
pagparisen dagiti ladawan ti kameng iti komunidad ken dagiti obrada,match the pictures of community members to their jobs
pagsilpuen dagiti husto nga aramiden dagiti sumaganad a kameng iti komunidad.,match the correct actions of the following community members.
mangidrawing iti uneg ti kahon ti maysa a lugar nga makita ti maysa a komunidad.,draw inside the box one place seen in the community.
katulongan panggep talna ken umos,helper for peace and order
katulongan panggep ti salun-at,helper for health
ti komunidad ket maysa a kameng a pagtaengan ti pamilia.,the community is a part where families live.
addaan dagiti naduma-dma a paset nga makita iti maysa a komunidad.,there are different parts seen in a community.
isuda ti kangrunaan a mangted ti kasapulan dagiti ubbing iti uneg ti pagadalan.,they are the main ones who provide the needs of children in school.
isuda met ti mangted ti panagayat ken panangtaraken dagiti ubbing.,they also give love and care to the children.
dagiti dadduma nga agsirsirbi iti komunidad.,others who serve in the community.
nadadayaw a sao,polite words
nadadayaw nga aramid,polite actions
naimbag a bigat,good morning
naimbag nga malem,good afternoon
naimbag a rabii,good evening
awan anyamanna,you're welcome
haanko ingagara,I did not mean to
nasayaat a sarsarita,good manners
masapul a maamwan ti husto a panagdayaw.,one must know the proper way of greeting.
napotleg a maamwanyo ti panangibaga dagiti panagdawat ti dispensar.,it is important to know how to say sorry.
dagiti nadadayaw nga sao ken aramid ket mangipakita ti adal a nasayaat.,polite words and actions show good upbringing.
dagiti kayatko,the things i like
dagiti saanko a kayat,the things i do not like
naragsak a pamilia,happy family
naayat a nagannak,loving parents
nasingpet nga ubbing,kind child
nagaget nga annak,hardworking children
naanus a maestra,patient teacher
naragsak a mamalon,happy vendor
ania ti panawen tatta nga aldaw?,what is the weather today?
napintas ti agpatayab ti ullaw,good for flying kites
nainit ti panawanen no makita ti init idiay tangatang ken nagpudot ti riknam.,the weather is sunny when the sun is visible in the sky and you feel hot.
matutudo no kanayon nga agtudtudo.,it is rainy when it rains continuously.
naulep no ado ti ulep idiay tangatang ken nakaluban ti ulep diay init.,it is cloudy when there are many clouds in the sky and the sun is covered.
naangin nu mariknam ti lammiis ken pug-aw ti angin.,it is windy when you feel the coolness and breeze of the wind.
napintas ti agpatayab ti ullaw no naangin.,it is good to fly kites when it is windy.
agbagbagyo no napigsa ti angin ken tudo.,it is stormy when the wind and rain are strong.
pillen ti kaipapanan ti naugedan a hyperbole.,choose the meaning of the underlined hyperbole.
timbukelan ti letra ti umno a sungbat.,encircle the letter of the correct answer.
ugedan dagiti hyperbole kadagiti patang.,underline the hyperbole in the sentences.
pilien ti kaipapanan dagiti hyperbole.,choose the meaning of the hyperboles.
klase ti pangangarig a pagsasao a nailoaga ti nalabes.,a type of figurative language that uses extreme exaggeration.
pangangarig a pagsasao,figurative language
nalabes a pangiladawan,exaggerated description
maysa a tonelada ti dagsen na.,it weighs a ton.
agumok ti billit ti buok na.,birds could nest in his
intayab ti angin dagiti arapaap ko.,the wind blew my dreams away.
mabanglesan ti katay ti siasinoman.,he could break anyone's bones.
mangsukdal kadagiti bituen.,to pluck the stars.
dumanun ti ballasiw ti taaw.,it can be heard across the sea
sanggabantay ti nilabaan.,a mountain of laundry.
dumanon ti agsinnumbanger a lapayag ti isem na.,his smile could reach both ears.
nabalitokan ti panagsasaona.,his way of talking is golden.
uray la pimmuraw ti buokko nga naguray kenka.,my hair turned white waiting for you.
agkapetka ta napigsa ti anginna no agsao.,you should hold on because the wind from her speaking is strong.
nangngeg ti sangalobungan.,the whole world heard it.
agas-asok ti agong ni tatang ko no makaunget.,my father's nose smokes when he gets angry.
nakasagana dagiti agassawa a mangisalda ti batogda a langit mapagadalda ti maymaysa nga anakda.,the couple is ready to drain the heavens to educate their only child.
kasia itayab ti angin ti balayda maria idiay rabaw ti bantay.,maria's house on top of the mountain is like it was blown by the wind.
nakuliaapan ti panunot ni luis.,luis was extremely surprised.
maysa a tonelada ti bakbaklayek a parikot.,the bundle i am carrying weighs a ton.
agumok ti billit iti buokna.,birds could nest in his hair.
uray la dumanon ti agsinnumbanger a lapayag ti isem na idi nakaawat ti rosas.,his smile could reach both ears when he received the rose.
ti bassit a kayo ti kalamansi ket nalastog a nakatakder.,the small calamansi tree stood very proudly.
rabaw ti bantay,top of the mountain
ti mariknak ket...,what i feel is...
ti kapanunotak maipanggep iti daytoy a damdamag ket...,my thought about this news is...
ti kapadasak maipanggep iti isyu ket...,my experience regarding the issue is...
mamatiak a...,i believe that...
panagkunkunak...,in my opinion...
awanan iti obra,no job
nalabes a panangusar,excessive use
makadadael ti salun-at,can destroy health
marigatan a makaturog,difficulty sleeping
maud-udi a mangan,eats last
masadot a maibaon,hard to command
saan a nasayaat a balikas,not good words
saan a pannakilangen-langen ti sabali a tao,not interacting with other people
agmannaneho iti dyip,jeepney drivers
pannakaisardeng iti obra,stoppage of work
agduduma ti sungbat...,the answer varies...
basar iti bukod a kapanunotan...,based on one's own thought...
basar iti bukod a reaksion...,based on one's own reaction...
basar iti bukod a kapadasan...,based on one's own experience...
urnosen ti jumbled words tapno mabuo dagiti paset ti pagiwarnak.,unscramble the jumbled words to form the parts of the newspaper.
isurat ti paset iti pagiwarnak.,write the part of the newspaper.
pagsilpuen ti batog a ken batog b babaen iti uged.,match column a and column b with a line.
saraken ken timbukelan dagiti paset ti pagiwarnak iti puzzle.,find and encircle the parts of the newspaper in the puzzle.
pilien ti sungbat iti baba. ugedan ti letra ti umno a sungbat.,choose the answer below. encircle the letter of the correct answer.
panid ti damdamag: launen daytoy ti kangrunaan a damdamag nga napasamak iti inaldaw.,news page: this contains the main news that happened today.
panid ti editorial: naglaon ti kapanunotan dagiti mannurat ken editor iti pagiwarnak.,editorial page: it contains the thoughts of the writers and editors of the newspaper.
"panid ti liwliwa: naglaon daytoy ti padamag maipanggep kadagiti makaay-ayo a malbnya, puzzle, ken dadduma pay.","entertainment page: this contains information about entertaining shows, puzzles, and more."
panid ti isports: naglaon ti damdamag maipanggep ti salisal ken dadduma pay nga isports.,sports page: it contains news about games and other sports.
"classified ads: mangted ti impomasion maipapan kadagiti barbaro a produkto, agkasapulan ti obra, ken pakacammo maipapan ti naikedkedengan maaramid.","classified ads: it gives information about new products, job openings, and announcements about important events to be done."
"obituario: naglaon ti nagnagan, ladawan, ken dadduma a padamag maipapan kadagiti natay ken kasta met ti panagyaman dagiti maseknan.","obituary: it contains the names, pictures, and other information about the deceased and also the gratitude of the bereaved."
"business section: naglaon iti impormasyon maipapan ti business, stock exchange.","business section: it contains information about business, stock exchange."
adalen ti grap panggep kadagiti...,read the graph about...
sungbotan dagiti sumaganad a saludsod.,answer the following questions.
isurat ti umno a sungbat.,write the correct answer.
bukelan ti umno a sungbat.,encircle the correct answer.
pilien ken isurat ti letra iti husto a sungbat.,choose and write the letter of the correct answer.
"isurat ti w no ti sungbat mo ket wen, s met no saan.","write w if your answer is yes, and s if it's no."
ikur-it ti nga rupa no umno ti sarita.,draw the face if the statement is correct.
mano ti nalakoda a mansanas idi enero?,how many apples did they sell in january?
sino ti kaadduan iti ay-ayam?,who has the most toys?
ania ti ay-ayam ni may?,what is may's toy?
ti mula ni jimmy ket tallo nga niyog.,jimmy planted three coconut trees.
uppat ti agnanaed a babae idiay pilar.,there are four female residents in pilar.
ania nga obra ti kabassitan iti bilangna?,which job has the smallest number?
mano ti mangayat iti obra a kargador?,how many want the job of a porter?
mano ti bilang ti saba?,what is the count of bananas?
no pagnayonen amin...,if all are added together...
ni jimmy kadi ti kaadduan iti nakalap nga ikan?,is jimmy the one with the most caught fish?
agpada ti nakalapda.,their catch is the same.
lima ti nalugan ti bus.,five people rode the bus.
kitkitaen ti ladawan,look at the picture
"kalpasan na, sungbatan dagiti saludsod.","afterwards, answer the questions."
ania ti ibagbaga ti ladawan,what does the picture
isurat ti kaipapanan dagiti ladawan.,write the meaning of the pictures.
ikonekta dagitoy a ladawan idiay kolum b.,connect these pictures to column b.
bukelan ti husto a letra ti sungbat.,encircle the correct letter of the answer.
isurat ti u no umno ti sungbat mo ken s no saan nga umno.,write u if your answer is correct and s if not correct.
kayat a sawen,what it wants to mean
pakakitaan,where it can be seen
nadalus nga ima,clean hands
panagbuggo ti ima,hand washing
ania ti ibagbaga iti lebel maipanggep iti ladawan?,what does the label say about the picture?
ania ti maipanggep iti ladawan?,what is the picture about?
maiparit iti agsigarilyo.,smoking is prohibited.
obserbaran ti distansia.,observe distance.
"alwadan, napudot a danum!","be careful, hot water!"
ladawan iti husto a panagusar iti face mask.,a picture of the correct use of a face mask.
addaan ti 36 a porsiento dagiti prutas ken nateng idiay food pyramid.,fruits and vegetables have 36 percent in the food pyramid.
makaanges,to be able to breathe
aginnayad,to slow down
ugedan ti porma ti tignay.,encircle the form of the verb.
baseen dagiti sumaganad a patang.,based on the following sentences.
usaren ti husto a tignay.,use the correct verb.
isurat iti sungbat iti linia.,write the answer on the line.
ipakita ti pakainaigan ti panawen ken tignay.,show the relationship between the time and the verb.
pilien ti kaipapanan.,choose the meaning.
isilpo ti husto a tignay kadagiti ladawan.,link the correct verb to the pictures.
bukelan ti letra ti husto a porma.,encircle the letter of the correct form.
mangisurat ti patang.,write a sentence.
nasayaat a tignay,good deed
basaen ti parupo,read the paragraph
kompletuen ti sumaruno,complete the following
adalen ti maysa a tarabay.,study a guide
ania ti masarakan iti...,what can be found in...
isurat ti sungbat.,write the answer.
